id_str,retweet_count,favorite_count
892420643555336193,7125,34288
892177421306343426,5369,29737
891815181378084864,3533,22378
891689557279858688,7318,37455
891327558926688256,7873,35777
891087950875897856,2645,18061
890971913173991426,1696,10517
890729181411237888,16019,57649
890609185150312448,3673,24888
890240255349198849,6188,28361
890006608113172480,6241,27395
889880896479866881,4226,24916
889665388333682689,8482,42673
889638837579907072,3774,23989
889531135344209921,1906,13531
889278841981685760,4510,22415
888917238123831296,3817,25986
888804989199671297,3597,22785
888554962724278272,2921,17587
888078434458587136,2946,19415
887705289381826560,4592,26995
887517139158093824,9983,41323
887473957103951883,15242,61036
887343217045368832,8939,29996
887101392804085760,5064,27358
886983233522544640,6442,30825
886736880519319552,2676,10641
886680336477933568,3798,20032
886366144734445568,2674,18830
886267009285017600,3,104
886258384151887873,5364,24905
886054160059072513,93,0
885984800019947520,5701,29003
885528943205470208,5416,32036
885518971528720385,3163,18259
885311592912609280,15685,0
885167619883638784,3713,19506
884925521741709313,15258,68221
884876753390489601,4730,24742
884562892145688576,3974,21626
884441805382717440,4856,24207
884247878851493888,17160,64208
884162670584377345,2529,18191
883838122936631299,2905,19460
883482846933004288,8386,40799
883360690899218434,3123,20226
883117836046086144,5616,33007
882992080364220416,3281,21274
882762694511734784,4147,25146
882627270321602560,5149,24966
882268110199369728,9808,39759
882045870035918850,4137,26123
881906580714921986,2895,21747
881666595344535552,9083,45203
881633300179243008,8,113
881536004380872706,13607,44054
881268444196462592,4546,20778
880935762899988482,2370,15271
880872448815771648,3252,19002
880465832366813184,5294,25358
880221127280381952,3530,24013
880095782870896641,3707,24684
879862464715927552,2967,19987
879674319642796034,9,282
879492040517615616,2668,21019
879415818425184262,37991,94176
879376492567855104,2680,15045
879130579576475649,5817,0
879050749262655488,4011,20107
879008229531029506,2281,17024
878776093423087618,3494,17373
878604707211726852,6011,26813
878404777348136964,1086,0
878316110768087041,5619,0
878281511006478336,1086,6892
878057613040115712,5817,37652
877736472329191424,16058,70293
877611172832227328,70,0
877556246731214848,3215,20234
877316821321428993,4419,24514
877201837425926144,4703,24187
876838120628539392,2846,18478
876537666061221889,4040,21323
876484053909872640,2031,16794
876120275196170240,3964,25048
875747767867523072,3629,22467
875144289856114688,4205,19675
875097192612077568,5202,24598
875021211251597312,4034,22878
874680097055178752,3982,24938
874434818259525634,12400,0
874296783580663808,3529,23330
874057562936811520,3427,20423
874012996292530176,8702,30573
873580283840344065,3383,21735
873337748698140672,1344,0
873213775632977920,1344,6407
872967104147763200,4623,24403
872820683541237760,3212,13234
872620804844003328,3111,18609
872486979161796608,7825,36628
872122724285648897,6958,30688
871879754684805121,9386,33588
871762521631449091,3015,18147
871515927908634625,2990,18157
871166179821445120,4959,0
871102520638267392,4765,18819
871032628920680449,3278,20459
870804317367881728,5343,30253
870726314365509632,3,106
870656317836468226,2234,11033
870374049280663552,23112,75072
870308999962521604,3601,19774
870063196459192321,7186,32858
869772420881756160,8811,38499
869702957897576449,5462,25415
869596645499047938,2676,14409
869227993411051520,3248,18396
868880397819494401,12459,58792
868639477480148993,1779,0
868622495443632128,4556,23997
868552278524837888,1779,9114
867900495410671616,3623,21901
867774946302451713,6337,30637
867421006826221569,2149,14543
867072653475098625,102,0
867051520902168576,6878,29124
866720684873056260,4184,18098
866686824827068416,3003,17379
866450705531457537,30730,110428
866334964761202691,12400,47296
866094527597207552,7277,0
865718153858494464,4924,23266
865359393868664832,4364,23941
865006731092295680,6764,25412
864873206498414592,7579,29210
864279568663928832,2622,13256
864197398364647424,7701,27035
863907417377173506,3641,18717
863553081350529029,3682,13872
863471782782697472,2116,0
863432100342583297,4620,21631
863427515083354112,81,1986
863079547188785154,971,7991
863062471531167744,2116,7631
862831371563274240,4525,17438
862722525377298433,3130,15552
862457590147678208,4311,18514
862096992088072192,20288,67190
861383897657036800,9413,32753
861288531465048066,3645,15578
861005113778896900,3379,15229
860981674716409858,1879,0
860924035999428608,689,0
860563773140209665,1879,6824
860524505164394496,4677,21563
860276583193509888,3116,16838
860184849394610176,5185,15221
860177593139703809,27229,0
859924526012018688,3638,17908
859851578198683649,3121,14169
859607811541651456,1378,17070
859196978902773760,26712,81690
859074603037188101,12140,30877
858860390427611136,7191,0
858843525470990336,3069,14322
858471635011153920,4325,19793
858107933456039936,2570,14454
857989990357356544,2297,14723
857746408056729600,9494,31290
857393404942143489,1460,5388
857263160327368704,4032,18489
857214891891077121,16,207
857062103051644929,149,0
857029823797047296,3545,17304
856543823941562368,2584,15067
856526610513747968,1677,10998
856288084350160898,15,491
856282028240666624,5658,25609
855862651834028034,22,308
855860136149123072,867,4490
855857698524602368,1889,11002
855851453814013952,16387,42570
855818117272018944,4887,24634
855459453768019968,7404,27513
855245323840757760,5360,0
855138241867124737,36,0
854732716440526848,5458,21017
854482394044301312,6122,27009
854365224396361728,4230,17469
854120357044912130,6717,29630
854010172552949760,2842,15077
853760880890318849,5195,26501
853639147608842240,9014,32029
853299958564483072,3222,14375
852936405516943360,1815,0
852912242202992640,1634,8375
852672615818899456,1962,13883
852553447878664193,3164,15131
852311364735569921,9023,30818
852226086759018497,6186,18607
852189679701164033,1445,10732
851861385021730816,19,0
851591660324737024,3179,15191
851464819735769094,6419,22633
851224888060895234,5253,19327
850753642995093505,8232,28595
850380195714523136,2378,12256
850333567704068097,304,3239
850145622816686080,3452,15250
850019790995546112,4457,19074
849776966551130114,6935,28361
849668094696017920,4526,0
849412302885593088,2881,14882
849336543269576704,1723,10732
849051919805034497,7758,39638
848690551926992896,3979,23646
848324959059550208,4219,23206
848213670039564288,661,7661
848212111729840128,2766,15287
847978865427394560,2987,0
847971574464610304,404,0
847962785489326080,4662,22096
847842811428974592,1209,5098
847617282490613760,380,6586
847606175596138505,3142,17625
847251039262605312,3987,19284
847157206088847362,5337,18678
847116187444137987,2925,20199
846874817362120707,3614,18918
846514051647705089,10579,41837
846505985330044928,2822,13289
846153765933735936,8322,29607
846139713627017216,9314,29255
846042936437604353,2633,15061
845812042753855489,7995,27486
845677943972139009,4443,23805
845397057150107648,1640,7211
845306882940190720,4961,21972
845098359547420673,7064,0
844979544864018432,2351,12869
844973813909606400,2912,14166
844580511645339650,2864,15533
844223788422217728,2018,12927
843981021012017153,2739,14366
843856843873095681,4246,20276
843604394117681152,2526,15977
843235543001513987,5518,20301
842846295480000512,3366,14458
842765311967449089,1187,6390
842535590457499648,3243,17180
842163532590374912,5360,23097
842115215311396866,2805,13236
841833993020538882,13821,0
841680585030541313,7271,24428
841439858740625411,3379,11941
841320156043304961,5114,18727
841314665196081154,4300,14997
841077006473256960,4959,21686
840761248237133825,1637,0
840728873075638272,14895,0
840698636975636481,2,168
840696689258311684,903,11649
840632337062862849,1637,8557
840370681858686976,4246,15578
840268004936019968,5315,18211
839990271299457024,2105,12735
839549326359670784,7191,26004
839290600511926273,135,0
839239871831150596,6038,25649
838952994649550848,3725,18677
838921590096166913,1892,10583
838916489579200512,31,0
838831947270979586,10228,0
838561493054533637,1243,10425
838476387338051585,4411,21297
838201503651401729,9363,0
838150277551247360,312,1583
838085839343206401,1,134
838083903487373313,2897,16734
837820167694528512,7277,32339
837482249356513284,413,3662
837471256429613056,2101,12177
837110210464448512,2206,15299
836989968035819520,2150,12146
836753516572119041,4326,18414
836677758902222849,2060,12023
836648853927522308,516,0
836397794269200385,25551,0
836380477523124226,2793,14121
836260088725786625,4043,20292
836001077879255040,3969,18168
835685285446955009,7577,0
835574547218894849,3368,16950
835536468978302976,1574,0
835309094223372289,19501,0
